model	nDCG	Recall	MAP	PopREO	PopRSP	APLT	ACLT	ARP	ItemCoverage	Gini	EFD	EPC	REO-ProbToBeRanked_items:Categories-0	REO-ProbToBeRanked_items:Categories-1	REO-ProbToBeRanked_items:Categories-2	REO-ProbToBeRanked_items:Categories-3	REO-ProbToBeRanked_items:Categories-4	REO-ProbToBeRanked_items:Categories-5	REO-ProbToBeRanked_items:Categories-6	REO-ProbToBeRanked_items:Categories-7	REO-ProbToBeRanked_items:Categories-8	REO-ProbToBeRanked_items:Categories-9	REO-ProbToBeRanked_items:Categories-10	REO-ProbToBeRanked_items:Categories-11	REO-ProbToBeRanked_items:Categories-12	REO-ProbToBeRanked_items:Categories-13	REO-ProbToBeRanked_items:Categories-14	REO-ProbToBeRanked_items:Categories-15	REO-ProbToBeRanked_items:Categories-16	REO-ProbToBeRanked_items:Categories-17	REO-ProbToBeRanked_items:Categories-18	REO-ProbToBeRanked_items:Categories-19	REO-ProbToBeRanked_items:Categories-20	REO-ProbToBeRanked_items:Categories-21	REO-ProbToBeRanked_items:Categories-22	REO-ProbToBeRanked_items:Categories-23	REO-ProbToBeRanked_items:Categories-24	REO-ProbToBeRanked_items:Categories-25	REO-ProbToBeRanked_items:Categories-26	REO-ProbToBeRanked_items:Categories-27	REO-ProbToBeRanked_items:Categories-28	REO-ProbToBeRanked_items:Categories-29	REO-ProbToBeRanked_items:Categories-30	REO-ProbToBeRanked_items:Categories-31	REO-ProbToBeRanked_items:Categories-32	REO-ProbToBeRanked_items:Categories-33	REO-ProbToBeRanked_items:Categories-34	REO_items:Categories	RSP-ProbToBeRanked_items:Categories-0	RSP-ProbToBeRanked_items:Categories-1	RSP-ProbToBeRanked_items:Categories-2	RSP-ProbToBeRanked_items:Categories-3	RSP-ProbToBeRanked_items:Categories-4	RSP-ProbToBeRanked_items:Categories-5	RSP-ProbToBeRanked_items:Categories-6	RSP-ProbToBeRanked_items:Categories-7	RSP-ProbToBeRanked_items:Categories-8	RSP-ProbToBeRanked_items:Categories-9	RSP-ProbToBeRanked_items:Categories-10	RSP-ProbToBeRanked_items:Categories-11	RSP-ProbToBeRanked_items:Categories-12	RSP-ProbToBeRanked_items:Categories-13	RSP-ProbToBeRanked_items:Categories-14	RSP-ProbToBeRanked_items:Categories-15	RSP-ProbToBeRanked_items:Categories-16	RSP-ProbToBeRanked_items:Categories-17	RSP-ProbToBeRanked_items:Categories-18	RSP-ProbToBeRanked_items:Categories-19	RSP-ProbToBeRanked_items:Categories-20	RSP-ProbToBeRanked_items:Categories-21	RSP-ProbToBeRanked_items:Categories-22	RSP-ProbToBeRanked_items:Categories-23	RSP-ProbToBeRanked_items:Categories-24	RSP-ProbToBeRanked_items:Categories-25	RSP-ProbToBeRanked_items:Categories-26	RSP-ProbToBeRanked_items:Categories-27	RSP-ProbToBeRanked_items:Categories-28	RSP-ProbToBeRanked_items:Categories-29	RSP-ProbToBeRanked_items:Categories-30	RSP-ProbToBeRanked_items:Categories-31	RSP-ProbToBeRanked_items:Categories-32	RSP-ProbToBeRanked_items:Categories-33	RSP-ProbToBeRanked_items:Categories-34	RSP_items:Categories
BPRMF_seed=42_e=500_bs=1_f=64_lr=0$0001_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=500	0.008514956623412106	0.008944399414278428	0.009113352140687658	1.0	1.0	0.0	0.0	653.4431596355265	16.0	0.00015418216266027684	0.07649332279562289	0.007871556995646407	0.0012116676466919691	0.0	0.0	0.0007072135785007072	0.030834512022630836	0.0	0.01758651174539025	0.0	0.0	9.882399446585631e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.009691487643353255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.042352941176470586	0.0	0.0	0.0	0.0	0.0	3.0816057220119357	6.096512143316301e-05	0.0	0.0	1.5437917985203042e-05	0.0005874197326013222	0.0	0.0003869082357834803	0.0	0.0	2.9561051546926076e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0003335589220809115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0022840879642166485	0.0	0.0	0.0	0.0	0.0	3.759126189437063
BPRMF_seed=42_e=500_bs=1_f=32_lr=0$0001_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=380	0.00848566484336167	0.008980100515897996	0.008997265367445984	1.0	1.0	0.0	0.0	653.9603813353223	13.0	0.0001478087530382144	0.07585624248528884	0.007810092013712773	0.0011582117211026176	0.0	0.0	0.0	0.030834512022630836	0.0	0.01758651174539025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009529962849297368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03764705882352941	0.0	0.0	0.0	0.0	0.0	3.0584524782535873	6.440643064014654e-05	0.0	0.0	9.005452158035107e-06	0.000588334383170554	0.0	0.0003869662584802186	0.0	0.0	2.2508414883446251e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.00032523585298257975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012050633458997688	0.0	0.0	0.0	0.0	0.0	3.1349504927860985
BPRMF_seed=42_e=500_bs=1_f=8_lr=0$0001_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=120	0.008440090094045227	0.008913226824480248	0.009039635958796763	1.0	1.0	0.0	0.0	653.9631764972925	12.0	0.00014250578749708254	0.07548809817694495	0.0077771092476799164	0.0009978439443345628	0.0	0.0	0.0	0.030834512022630836	0.0	0.01758651174539025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009691487643353255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01647058823529412	0.0	0.0	0.0	0.0	0.0	2.993986063211672	6.713066081081608e-05	0.0	0.0	8.576621102890579e-07	0.0005883927651217817	0.0	0.00038697270544652283	0.0	0.0	1.8006731906757e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0003440820381065092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000257901026737265	0.0	0.0	0.0	0.0	0.0	2.8033965273713197
BPRMF_seed=42_e=500_bs=1_f=8_lr=0$005_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=500	0.013716006667414701	0.013391326378832535	0.013682026006031323	1.0	0.9999498663255616	1.945588378352087e-05	9.727941891760433e-05	427.0971691689095	1541.0	0.00403153995759542	0.1306983714118169	0.012421327408806426	0.008802409080379893	0.001310615989515072	0.002199736031676199	0.016973125884016973	0.02347949080622348	0.014705882352941176	0.019544076787067443	0.0023969319271332696	0.0015292645627693591	0.009289455479790492	0.0	0.0	0.0005670541536716756	0.0	0.0	0.0	0.01534485543530932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12705882352941175	0.0	0.0	0.0	0.0	0.0	3.1062681627063498	0.0001449638937804495	2.988217671166709e-05	5.7612683170324114e-05	0.0005234597746464217	0.00022975243873086666	0.00013108476616265237	0.0003051220212477181	1.7537659932497546e-05	3.279455470431884e-05	0.00011680366763516375	0.0	9.403016581749591e-07	1.2087463085494357e-05	2.698080981363774e-05	1.2638310510650936e-06	1.3746783424513457e-05	0.0003028112782781574	0.0	0.0	4.77059178236942e-06	0.0	1.5913844892038336e-05	2.7857589183074434e-05	4.409276614078694e-06	4.914736690524437e-07	0.0	1.9083277514746603e-06	0.0	3.344319422636695e-07	0.002811953130232115	0.0	0.0	9.501319756488126e-05	0.0	0.0	3.365160840880769
BPRMF_seed=42_e=500_bs=1_f=64_lr=0$005_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=500	0.02169824971630657	0.020102939306444845	0.021440924370656204	1.0	0.9999665774878626	1.2970589189013912e-05	6.485294594506956e-05	482.79839164694056	2281.0	0.0044785244560586746	0.21531157645581267	0.01942541594382758	0.015217120151102083	0.001310615989515072	0.008798944126704795	0.06223479490806223	0.02630834512022631	0.0	0.025669360949734783	0.008149568552253116	0.005421937995273182	0.014823599169878446	0.0	0.0	0.001984689537850865	0.0	0.0	0.0016792611251049538	0.027136165401389113	0.005494505494505495	0.0	0.0	0.0	0.0	0.002325581395348837	0.0022675736961451248	0.0	0.0	0.0	0.0	0.0	0.12470588235294118	0.0	0.0	0.0	0.0	0.0	2.4454863250573844	0.00012169903513966402	1.4727644236464495e-05	0.00010613245548674606	0.0003109025149797835	0.00020770352181725732	1.853723965936498e-05	0.00038187315509985816	5.962804377049166e-05	2.0165808817733418e-05	7.312233715135573e-05	1.4524827529777106e-06	4.7015082908747955e-07	2.0759880838283988e-05	4.644797638803459e-05	0.0	2.4194338827143682e-05	0.00031375849973551726	5.8992003633907425e-05	4.811032704952791e-05	5.724710138843303e-06	4.055298044129754e-06	4.284496701702628e-06	5.289415667672361e-06	8.18865656900329e-06	2.948842014314662e-06	4.866627373156765e-05	0.0	0.0	1.337727769054678e-06	0.0038880659627632515	2.596525848414821e-05	0.0	3.7078321000929274e-05	0.0	3.249074013906037e-05	3.8307899786860182
BPRMF_seed=42_e=500_bs=1_f=8_lr=0$001_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=20	0.008317289596749804	0.008696789345788734	0.00892614330339289	1.0	1.0	0.0	0.0	649.925743376893	12.0	0.00014132409535971835	0.07392871621679466	0.007621195691201872	0.0006949270326615705	0.0	0.0	0.0	0.030834512022630836	0.0	0.01758651174539025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00468421902762074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058823529411764705	0.0	0.0	0.0	0.0	0.0	3.4766044250445356	7.713290811641087e-05	0.0	0.0	7.147184252408816e-07	0.0005883927651217817	0.0	0.00038697270544652283	0.0	0.0	3.751402480574375e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.00015792626015242138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019309299453457809	0.0	0.0	0.0	0.0	0.0	3.7526345840241735
BPRMF_seed=42_e=500_bs=1_f=64_lr=0$0005_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=500	0.008537442063039415	0.009120737374560671	0.009088924197715014	1.0	1.0	0.0	0.0	654.9978663380784	17.0	0.00015159543305209855	0.07696435052122902	0.007920246713674453	0.0012294862885550864	0.0	0.0	0.0	0.030834512022630836	0.0	0.01758651174539025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011791309966079794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	3.034086411389071	5.60829524803149e-05	0.0	0.0	1.2293156914143163e-05	0.0005882565405689173	0.0	0.00038698559937913135	0.0	0.0	7.352748861925775e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.00035487022002695826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00208442265319425	0.0	0.0	0.0	0.0	0.0	3.6514660953689555
BPRMF_seed=42_e=500_bs=1_f=8_lr=0$001_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=20	0.008327257343945635	0.008707598170112914	0.008935546980554925	1.0	1.0	0.0	0.0	649.9839294399949	12.0	0.0001414782291168093	0.07400483215910471	0.007628683145823563	0.0006949270326615705	0.0	0.0	0.0	0.030834512022630836	0.0	0.01758651174539025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00468421902762074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0611764705882353	0.0	0.0	0.0	0.0	0.0	3.507731661088964	7.667049266308689e-05	0.0	0.0	7.147184252408816e-07	0.0005883927651217817	0.0	0.00038697270544652283	0.0	0.0	3.90145857979735e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.000159251589626678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019671192829685906	0.0	0.0	0.0	0.0	0.0	3.7712414185656313
BPRMF_seed=42_e=500_bs=1_f=32_lr=0$0005_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=440	0.008601169962052199	0.009110410797315642	0.009107191110822876	1.0	1.0	0.0	0.0	656.3779953954408	13.0	0.00014848473359219128	0.07727999061624903	0.007951701818275423	0.0011225744373763833	0.0	0.0	0.0007072135785007072	0.030834512022630836	0.0	0.01758651174539025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011468260377968019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06588235294117648	0.0	0.0	0.0	0.0	0.0	3.365322729683855	4.709600867006189e-05	0.0	0.0	1.9583284851600155e-05	0.0005883927651217817	0.0	0.00038697270544652283	0.0	0.0	1.50056099222975e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0003936493604437076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019783504567136003	0.0	0.0	0.0	0.0	0.0	3.565799845352048
BPRMF_seed=42_e=500_bs=1_f=16_lr=0$0001_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=320	0.008437069142713093	0.008901561766889995	0.008985375660689385	1.0	1.0	0.0	0.0	654.2960472129447	14.0	0.00014619141011662506	0.07578453473086737	0.007803701097427197	0.0010334812280607972	0.0	0.0	0.0	0.030834512022630836	0.0	0.01758651174539025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010499111613632693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03529411764705882	0.0	0.0	0.0	0.0	0.0	3.0160251904898403	5.9534314197153304e-05	0.0	0.0	1.0006057953372343e-06	0.0005883927651217817	0.0	0.00038697270544652283	0.0	0.0	7.50280496114875e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.00033207455306974405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014043126875242042	0.0	0.0	0.0	0.0	0.0	3.27980842587185
