model	nDCG	Recall	MAP	PopREO	PopRSP	APLT	ACLT	ARP	ItemCoverage	Gini	EFD	EPC
LightGCN_seed=42_e=500_bs=512_lr=0$0005_factors=32_l_w=0$0001_n_layers=2_normalize=True_it=180	0.060345770618446835	0.07179746816350203	0.03975490347462525	0.8192218996488713	0.9660882455588696	0.013210545089010668	0.1321054508901067	154.27700314536787	12631.0	0.07420287182546803	0.44353255532019936	0.03530324345194616
LightGCN_seed=42_e=500_bs=512_lr=0$001_factors=8_l_w=0$0001_n_layers=2_normalize=True_it=60	0.03380557383686548	0.04185742981842593	0.022042416142824716	0.9780678053784841	0.9946973053069288	0.0020590810337559585	0.020590810337559582	241.8838451311651	3020.0	0.011861584068945774	0.23067788462100947	0.019927211371597094
LightGCN_seed=42_e=500_bs=512_lr=0$001_factors=16_l_w=0$0001_n_layers=3_normalize=True_it=140	0.04674494426511678	0.05680755674924563	0.030784996013602645	0.8992683824764618	0.9788851322723561	0.00821362560394306	0.08213625603943059	185.01705956743083	9041.0	0.04463466097531321	0.33733406611212335	0.027697550954134717
LightGCN_seed=42_e=500_bs=512_lr=0$0005_factors=32_l_w=0$0001_n_layers=3_normalize=True_it=340	0.06264931884609644	0.07448413531674498	0.04130775450792313	0.8180534240921129	0.9697300776846348	0.011787022925516394	0.11787022925516391	152.57995395440838	13206.0	0.08057156720506686	0.46499094075680225	0.0368303682262903
LightGCN_seed=42_e=500_bs=512_lr=0$001_factors=64_l_w=0$0001_n_layers=2_normalize=True_it=500	0.08889462000511208	0.10315716554039565	0.05877799292485242	0.7597231012187764	0.9558920532665595	0.0172022439119297	0.172022439119297	120.40155322805539	15734.0	0.11463822716550154	0.6683838552218002	0.051518664433131786
LightGCN_seed=42_e=500_bs=512_lr=0$0005_factors=8_l_w=0$0001_n_layers=2_normalize=True_it=140	0.033408473597460596	0.04154505161237225	0.021925292237153844	0.9698596581711453	0.9937626797847071	0.002422257531048348	0.02422257531048348	238.12444631797396	3368.0	0.013200134478942749	0.22976097116485533	0.01982913140338873
LightGCN_seed=42_e=500_bs=512_lr=0$001_factors=8_l_w=0$0001_n_layers=1_normalize=True_it=40	0.030118900913553782	0.037004492784731106	0.019992616543574745	0.9818929878402081	0.9942633476959833	0.0022276986932131394	0.02227698693213139	253.302127176627	2471.0	0.009872450993488213	0.20462477018347233	0.017984382796159288
LightGCN_seed=42_e=500_bs=512_lr=0$0005_factors=8_l_w=0$0001_n_layers=3_normalize=True_it=220	0.03503677081181741	0.04292321786213324	0.023004953529775996	0.9712725654519002	0.9929116731798691	0.002753007555368203	0.027530075553682025	238.24128538538864	3954.0	0.015220857119288334	0.24259343690290172	0.020822993101900254
LightGCN_seed=42_e=500_bs=512_lr=0$0005_factors=64_l_w=0$0001_n_layers=2_normalize=True_it=500	0.08697229113976522	0.10150196403984157	0.05747168731409465	0.7615358358170558	0.9590536025425346	0.015963552644378872	0.1596355264437887	123.16870845358152	15463.0	0.11119470812784349	0.6546705578899259	0.05056092809944345
LightGCN_seed=42_e=500_bs=512_lr=0$001_factors=64_l_w=0$0001_n_layers=4_normalize=True_it=480	0.08889292202784067	0.1040163979301842	0.05882930653156665	0.7844003710643613	0.9662458030417	0.013148934790362853	0.1314893479036285	143.6542008495736	13083.0	0.08351797494127566	0.6657126856262755	0.051900232580591475
LightGCN_seed=42_e=500_bs=512_lr=0$0005_factors=8_l_w=0$0001_n_layers=4_normalize=True_it=240	0.03594835359100413	0.04458613835774122	0.023461685548653348	0.9698849404933519	0.9947974553612928	0.002020169266188917	0.020201692661889165	238.71477025843902	3757.0	0.014254675395671379	0.2475228070494527	0.021266361328194084
LightGCN_seed=42_e=500_bs=512_lr=0$0005_factors=16_l_w=0$0001_n_layers=1_normalize=True_it=80	0.03881372592031836	0.04664291219375275	0.025646125782803366	0.9423316319777254	0.9889757931165182	0.004283537079671844	0.04283537079671844	219.69437724958655	5766.0	0.023222357201663435	0.2717453337422243	0.022973655406567175
LightGCN_seed=42_e=500_bs=512_lr=0$001_factors=32_l_w=0$0001_n_layers=1_normalize=True_it=40	0.0497965169957922	0.05985473960995171	0.03265664946004775	0.8762362616419119	0.9789183972503057	0.008200655014754045	0.08200655014754045	176.67472032167058	9557.0	0.04712830844327709	0.3571631001209463	0.029098543884261887
