model	nDCG	Recall	MAP	PopREO	PopRSP	APLT	ACLT	ARP	ItemCoverage	Gini	EFD	EPC
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=8_l_w=0$0001_n_layers=2_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.029325880362301746	0.0373316327995286	0.01975859391607308	0.9114104864192719	0.8843290113221206	0.045478128343980025	0.45478128343980023	122.27962644703136	11915.0	0.08980472381389326	0.22515991572543934	0.01826687024576532
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=8_l_w=0$0001_n_layers=4_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.03578832489003702	0.04509982284623385	0.023921476207461483	0.8497536196203266	0.8696594664224695	0.05133110671552255	0.5133110671552256	109.42011089853756	15255.0	0.12071781113955382	0.27918713698982933	0.02212162242211025
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=64_l_w=0$0001_n_layers=1_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.07257017791748421	0.08623476705270469	0.046854204915750354	0.7365579869268961	0.9419815054854404	0.022662861960504557	0.22662861960504557	90.3657641298356	18273.0	0.16175608274992492	0.5402879141698453	0.041381042294297544
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=16_l_w=0$0001_n_layers=4_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.04219967625694724	0.0525790164120243	0.027717751486599374	0.8208497455561896	0.8751964577940639	0.04911962125879568	0.4911962125879568	90.44419728266156	19705.0	0.18414297893991605	0.326544072861775	0.0254268703614241
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=32_l_w=0$0001_n_layers=2_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.05121602588895971	0.06225266527206609	0.03367000247573548	0.8107004497983927	0.9220837624808215	0.030503583125263467	0.30503583125263467	91.9910211096339	19564.0	0.17757739212249746	0.39204417242399225	0.03028303757094275
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=16_l_w=0$0001_n_layers=2_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.037931958926448704	0.047125578065429774	0.025183999645882325	0.850741166545116	0.879333445000655	0.047469113784493665	0.4746911378449366	92.65560815850061	18801.0	0.17396642310535904	0.29488327225011446	0.023066922890846688
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=64_l_w=0$0001_n_layers=2_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.07498791351395244	0.08776003590412847	0.04936686796815205	0.7115436403937471	0.9290600210537059	0.027750575569895262	0.27750575569895264	86.53145043613605	18716.0	0.1680836522284157	0.5672361735385422	0.04319689626856172
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=64_l_w=0$0001_n_layers=2_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.07445368165682735	0.0871117234905609	0.048604755779761456	0.7468428635308613	0.9381068744051853	0.02418690619021369	0.24186906190213692	88.51309056713902	18727.0	0.1677932300490178	0.558440376265479	0.04265490704668502
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=64_l_w=0$0001_n_layers=3_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.07549316932913387	0.08945764389626515	0.04936977605660118	0.7266408050087408	0.9250487679615853	0.02933298745095496	0.2933298745095496	86.11957586173351	19186.0	0.17358214365860125	0.5714485605777079	0.04350567388627811
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=32_l_w=0$0001_n_layers=3_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.053360691543966034	0.0657683295278055	0.03502485514888641	0.7765192034634201	0.9142578065839739	0.03359706864684329	0.3359706864684328	88.91921917053081	20102.0	0.18647910977581572	0.41080583833622786	0.031558875065862364
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=8_l_w=0$0001_n_layers=1_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.02881938929264093	0.03650035335593947	0.019403050507577242	0.9248449477781602	0.9186202598607918	0.031871980284704435	0.3187198028470443	141.23843509841433	10073.0	0.0686223706212793	0.2160569228031174	0.017856614487175577
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=64_l_w=0$0001_n_layers=4_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.07552472709904308	0.08889904315664847	0.04923352439217092	0.6991077876996955	0.9169715342740126	0.03252375239145238	0.3252375239145238	83.67468140990304	19981.0	0.1855944287177368	0.5699164309152119	0.04331999854254082
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=32_l_w=0$0001_n_layers=2_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.051574059620476495	0.06333314535641023	0.033553397136279195	0.7972960900947518	0.9290353506151837	0.027760303511787026	0.2776030351178702	87.61543500113494	18631.0	0.17212262054141558	0.3931516512418812	0.030300460658080425
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=16_l_w=0$0001_n_layers=3_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.040352848604130305	0.04950160682821424	0.026939531576436145	0.8491153838582075	0.877374190840012	0.04825059178313175	0.48250591783131747	90.91694607477545	19250.0	0.17915291278094114	0.3158048947259376	0.024587627747749134
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=8_l_w=0$0001_n_layers=1_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.027460011674518166	0.03492037331019503	0.018225489575403642	0.9294789099465979	0.8886457009519209	0.04375952527643568	0.43759525276435685	128.6522876876682	10580.0	0.07756399830239435	0.2058477673826995	0.016857792875450518
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=16_l_w=0$0001_n_layers=1_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.03587977654166523	0.04435671936754251	0.023785165351850393	0.866524094142005	0.8919634624032762	0.04243976782645351	0.42439767826453517	107.04562729011964	18255.0	0.1535874067744072	0.27395475417273785	0.02176590170057582
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=16_l_w=0$0001_n_layers=4_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=200	0.044345861135067985	0.0545276805065069	0.0295333161421556	0.850031141391762	0.9124714262839465	0.03430396575764454	0.3430396575764454	110.30703654463504	17829.0	0.14185325799056014	0.3412794511352658	0.02688247164885708
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=32_l_w=0$0001_n_layers=1_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.04850542986590513	0.059304329340402306	0.03144958687129315	0.8178529291890773	0.9321531369468444	0.026531340186127954	0.26531340186127955	88.50780505204447	18254.0	0.16701976881033975	0.3667453566102761	0.028362344306201614
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=16_l_w=0$0001_n_layers=3_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.04235477581402827	0.05230434399679821	0.02846582507101655	0.8251803519864338	0.8821885235033875	0.046330944583157695	0.4633094458315769	98.42404747235643	19664.0	0.17469712135559956	0.33388536397871466	0.02602267846753398
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=32_l_w=0$0001_n_layers=4_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.05531986840591681	0.0671753129130077	0.036096873058593604	0.7739637266246884	0.9150774884641185	0.033272803917117934	0.3327280391711793	87.63896689257108	20417.0	0.19080449066747862	0.4232063879399688	0.0324904336136294
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=32_l_w=0$0001_n_layers=3_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.0533988608477231	0.06543880659213612	0.034934471502534675	0.8004358283986291	0.9221412367943687	0.030480884594182692	0.3048088459418269	85.45464833490063	19390.0	0.18266306961646706	0.40931457994258863	0.03149221608012768
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=16_l_w=0$0001_n_layers=2_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.04011515927305658	0.04926962457917727	0.027004940404775035	0.8427970333454874	0.8859248797568996	0.04484256947371835	0.4484256947371834	101.19104056551768	19134.0	0.16817827273387265	0.313995249175474	0.024616163691038705
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=8_l_w=0$0001_n_layers=2_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=320	0.0333029019893345	0.041261808227379064	0.022559445960253378	0.9227927818180593	0.9246790606381718	0.02947890657933137	0.29478906579331365	138.70300917669184	11697.0	0.0796740346611553	0.25194456061494763	0.020586169803825997
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=64_l_w=0$0001_n_layers=4_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.07484838436297672	0.08805105251415349	0.049268121637361884	0.7198217947433215	0.9236686846966848	0.029877752196893544	0.2987775219689354	84.87711339537599	19822.0	0.18345347410392177	0.5675159927867031	0.04321764223731948
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=32_l_w=0$0001_n_layers=1_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.05014746235428489	0.060156181915816856	0.032866900394625025	0.8022749609051489	0.9225025209890249	0.03033820811310354	0.3033820811310354	92.07877038814487	19334.0	0.17487166106329288	0.3787368751202325	0.02937191094494852
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=8_l_w=0$0001_n_layers=4_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.038929184129430715	0.04816720494729132	0.02626919788744102	0.8384790203015614	0.8887760818224034	0.04370764291967963	0.4370764291967963	117.77667563799086	15931.0	0.12379857022321283	0.30292650999657295	0.02403285969408386
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=16_l_w=0$0001_n_layers=1_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.034250144449600825	0.042552660629343125	0.022770984946395952	0.875703433828766	0.8839464144200211	0.045630532766950935	0.4563053276695094	97.92552287687668	18130.0	0.1602889145134745	0.26504336025013936	0.02090277979693646
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=8_l_w=0$0001_n_layers=3_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=480	0.035254512211300805	0.043496092340987925	0.023490537389010104	0.8945585285366252	0.9102926912351604	0.035166509938713966	0.35166509938713963	123.25006323162229	13623.0	0.0996146232525198	0.2696512569883944	0.0216674131665058
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=32_l_w=0$0001_n_layers=4_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.05481415096273611	0.06631822453074997	0.036002208345750616	0.7747063068678882	0.9195884545650763	0.03148934790362853	0.31489347903628523	84.43747851746167	19725.0	0.18508296832780713	0.4201765444529797	0.03223693605699506
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=64_l_w=0$0001_n_layers=3_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.07478338959702999	0.08815339499523776	0.04889341186716264	0.7392119094614733	0.9302032353136065	0.027299847595577027	0.2729984759557703	86.18846266091637	19405.0	0.17646171721440007	0.5637462622832806	0.043059088584603986
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=8_l_w=0$0001_n_layers=3_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=160	0.03474610365997627	0.043222393619206975	0.0231369086865374	0.9043427736924343	0.9203927094513122	0.031171568468497685	0.3117156846849768	127.66697363727747	12125.0	0.08412682281359574	0.26169969328306814	0.021192246425354673
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=64_l_w=0$0001_n_layers=1_weight_size=64_node_dropout=0$1_message_dropout=0$1_normalize=True_it=500	0.07496757414955343	0.08863530256975596	0.049011679706741154	0.7297531323687659	0.9347049363552256	0.025526119523979374	0.2552611952397938	88.928100781478	18105.0	0.16116116190284757	0.563030874590478	0.04297861144395209
