model	nDCG	Recall	MAP	PopREO	PopRSP	APLT	ACLT	ARP	ItemCoverage	Gini	EFD	EPC
NeuMF_seed=42_e=500_bs=512_lr=0$001_mffactors=64_drop=0$1_batch_eval=256_mftrain=True_mlptrain=True_m=4_it=460	0.04487895220161671	0.042743615511864126	0.040537739010127874	0.7506032431657693	0.8820257912749132	0.04639579752910276	0.2319789876455138	93.62073997211323	18301.0	0.19273123608788145	0.4827761263242816	0.03728951241277719
NeuMF_seed=42_e=500_bs=512_lr=0$0005_mffactors=16_drop=0$1_batch_eval=256_mftrain=True_mlptrain=True_m=8_it=320	0.028407673925738487	0.02690540448669499	0.025966146762216674	0.5697671701809103	0.7826887292625179	0.0864360063555887	0.4321800317779435	48.608865397710694	21689.0	0.26893503391966544	0.33426959852772004	0.024434498289559417
NeuMF_seed=42_e=500_bs=512_lr=0$005_mffactors=32_drop=0$1_batch_eval=256_mftrain=True_mlptrain=True_m=4_it=40	0.03112080592869468	0.030479563440982942	0.02862673886961315	0.7104178571272708	0.8577323482491185	0.05610428353707967	0.28052141768539834	114.35999870294108	19019.0	0.19743890648731932	0.3449427085505366	0.026780959776741848
NeuMF_seed=42_e=500_bs=512_lr=0$005_mffactors=16_drop=0$1_batch_eval=256_mftrain=True_mlptrain=True_m=4_it=40	0.025035596751539862	0.023863758045091943	0.02298809948441908	0.656336816702466	0.8449983212671659	0.061214695677551154	0.3060734783877558	87.11498427316063	18181.0	0.1939088430435384	0.2853663348387344	0.021760474166211508
NeuMF_seed=42_e=500_bs=512_lr=0$0001_mffactors=64_drop=0$1_batch_eval=256_mftrain=True_mlptrain=True_m=4_it=40	0.055980198270776	0.052394923338853365	0.05106423684295859	0.6235178319918574	0.8844022783458638	0.045448944518304744	0.22724472259152373	130.20924154479718	17490.0	0.15342965745556947	0.6159997181746206	0.046851863535931605
NeuMF_seed=42_e=500_bs=512_lr=0$001_mffactors=8_drop=0$1_batch_eval=256_mftrain=True_mlptrain=True_m=8_it=380	0.02780214618525761	0.025580597712351303	0.026115740890863298	0.718990623314547	0.8556290133283779	0.05694737183436559	0.2847368591718279	117.77663348357599	13772.0	0.1212631771345275	0.30933408790225214	0.024357808576108617
NeuMF_seed=42_e=500_bs=512_lr=0$0005_mffactors=8_drop=0$1_batch_eval=256_mftrain=True_mlptrain=True_m=8_it=300	0.027565344120195255	0.02586775046660319	0.025668039387355835	0.7055590761617628	0.8426752759621225	0.06214857809916016	0.3107428904958008	111.48778494763125	13304.0	0.11827007833443848	0.30548808645742365	0.02399466756782382
NeuMF_seed=42_e=500_bs=512_lr=0$005_mffactors=16_drop=0$1_batch_eval=256_mftrain=True_mlptrain=True_m=8_it=180	0.030895815774210612	0.029441019554054936	0.02835997708529243	0.6776844461873246	0.7876230941823261	0.08442556503129155	0.42212782515645775	95.24137617951298	20408.0	0.23037956585176478	0.3465171552258723	0.026622760000852376
NeuMF_seed=42_e=500_bs=512_lr=0$005_mffactors=64_drop=0$1_batch_eval=256_mftrain=True_mlptrain=True_m=8_it=40	0.04237003289335894	0.040846412901004915	0.03804252191489132	0.7490951232334898	0.8788862355866575	0.047647459385842604	0.238237296929213	82.83014364927526	19434.0	0.2191593251273829	0.4576551999121896	0.03502483977031363
NeuMF_seed=42_e=500_bs=512_lr=0$001_mffactors=8_drop=0$1_batch_eval=256_mftrain=True_mlptrain=True_m=4_it=180	0.02096589787170051	0.01957225771434022	0.019242409503118344	0.6713781327541849	0.7940780254866774	0.08179902072051623	0.4089951036025811	79.4571354453776	14495.0	0.14372338303346943	0.23886688622048194	0.018303519791733953
