model	nDCG	Recall	MAP	PopREO	PopRSP	APLT	ACLT	ARP	ItemCoverage	Gini	EFD	EPC
UserKNN_nn=10_sim=manhattan_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.02006462795455516	0.02438731479267256	0.0111012519192097	0.252870009817851	0.07077044939743979	0.47212296118551184	4.721229611855119	26.118421479295698	24009.0	0.12177478401521602	0.13250853139730717	0.009389292000427873
UserKNN_nn=100_sim=manhattan_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.05500016723623819	0.06359545989309635	0.030749815863957048	0.4957073082468468	0.25261966994918167	0.31651804533220923	3.165180453322092	64.09337202892442	24247.0	0.15266930310618088	0.33823101955340795	0.025254733358156152
UserKNN_nn=20_sim=jaccard_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.07042645623441658	0.0751826628027565	0.05026974450512827	0.3353874228826321	0.6204081323125284	0.15384740101819125	1.5384740101819125	61.70321670611887	28454.0	0.3866490343876262	0.5984069575041012	0.042740738301083325
UserKNN_nn=20_sim=euclidean_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.030398495286703797	0.03681153524461081	0.016793356381864438	0.3333671410428349	0.04077779449733207	0.41702389831058073	4.170238983105808	36.71560037614708	24653.0	0.14336911529748853	0.1950656308223441	0.014094867182718272
UserKNN_nn=200_sim=manhattan_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.06409431928773439	0.07280198310452424	0.036032451178856714	0.535003302888036	0.3259662790957228	0.2829209766853659	2.8292097668536593	80.57412691721521	23698.0	0.14140263266592668	0.39052121200393947	0.029557482161511196
UserKNN_nn=150_sim=euclidean_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.06329572883081012	0.07278366168306633	0.03536516326214435	0.5351913966080103	0.3057240942932971	0.292133337656863	2.9213333765686307	74.46909757125718	23092.0	0.13662909301435422	0.38726775976367683	0.02917023553886218
UserKNN_nn=100_sim=jaccard_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.11622155652036881	0.1227988402818017	0.08172978248013106	0.562288886341239	0.8463620697318727	0.06066668828431532	0.6066668828431532	99.77514510846655	21011.0	0.18444310729989755	0.9339605573188787	0.06904267735212671
UserKNN_nn=10_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.050455281438469904	0.05445972726722892	0.035645185157734204	0.19154242163163837	0.48875476744915014	0.21044456694445346	2.1044456694445346	49.27359188041116	29140.0	0.4210719184787661	0.4325975612030176	0.030377119636052507
UserKNN_nn=30_sim=euclidean_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.03560759037400823	0.04245447611221103	0.019714360089291186	0.37731997302015374	0.08886280700194754	0.39374493336359806	3.9374493336359806	42.36129251921268	24728.0	0.15003332394118818	0.22546764148203585	0.016424786245073205
UserKNN_nn=20_sim=manhattan_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.028819364227738942	0.034547984364725864	0.01593830374546351	0.33299253411327145	0.03278305762382941	0.4209215603618794	4.209215603618794	35.772434255326054	24956.0	0.14838450036756645	0.18517042118215404	0.013375317306374031
