model	nDCG	Recall	MAP	PopREO	PopRSP	APLT	ACLT	ARP	ItemCoverage	Gini	EFD	EPC
BPRMF_seed=42_e=500_bs=1_f=32_lr=0$0001_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=480	0.01141811239946531	0.016220090161541204	0.005070366426260254	1.0	1.0	0.0	0.0	147.57230040406853	25.0	0.000963529472350011	0.038733722104576936	0.004377900173443269
BPRMF_seed=42_e=500_bs=1_f=16_lr=0$001_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=460	0.011639055747033528	0.016507041632923204	0.005202142094123423	1.0	1.0	0.0	0.0	147.93237425107984	25.0	0.0009677724904540996	0.039750933597305194	0.004485951373015809
BPRMF_seed=42_e=500_bs=1_f=16_lr=0$005_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=40	0.01165205112188622	0.01653474255584497	0.005211627310345438	1.0	1.0	0.0	0.0	147.92292044029537	19.0	0.0009527585201325461	0.03952899590629329	0.004463604263705715
BPRMF_seed=42_e=500_bs=1_f=64_lr=0$005_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=500	0.012508852392936143	0.01868792872838573	0.005381244318822694	1.0	1.0	0.0	0.0	133.55559425943989	455.0	0.00333878936416232	0.042950492742115536	0.004740710013557785
BPRMF_seed=42_e=500_bs=1_f=8_lr=0$0001_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=320	0.011654666174313374	0.016743090221255766	0.005149803384267644	1.0	1.0	0.0	0.0	148.2535878500766	18.0	0.0009143516269900509	0.03940055129485178	0.004449084953681534
BPRMF_seed=42_e=500_bs=1_f=64_lr=0$0005_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=260	0.011429201346057552	0.016245209855486015	0.005087343608661708	1.0	1.0	0.0	0.0	147.29028842134596	31.0	0.0010055062860013786	0.038796308119860005	0.004383681486751425
BPRMF_seed=42_e=500_bs=1_f=8_lr=0$0001_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=320	0.011656919200479543	0.016743090221255766	0.005151545059062128	1.0	1.0	0.0	0.0	148.2566462310157	18.0	0.0009141638828262799	0.03940684347647842	0.0044497509705841865
BPRMF_seed=42_e=500_bs=1_f=16_lr=0$001_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=300	0.011570481430207304	0.01639109585374766	0.005186317734562127	1.0	1.0	0.0	0.0	148.1200640936324	23.0	0.0009393494147380554	0.03936266711756058	0.004445585518992525
BPRMF_seed=42_e=500_bs=1_f=32_lr=0$005_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=20	0.011545467789767627	0.016638619892457723	0.005074723377809625	1.0	1.0	0.0	0.0	147.7362059356277	24.0	0.0009426411957451641	0.03897437480008707	0.0044017059811272225
BPRMF_seed=42_e=500_bs=1_f=64_lr=0$0001_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=480	0.011354544371706115	0.016136562523068308	0.005041075879518126	1.0	1.0	0.0	0.0	146.99365333704887	33.0	0.0010204868795823385	0.03841802756742282	0.004343856734146309
BPRMF_seed=42_e=500_bs=1_f=64_lr=0$0001_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=400	0.011331105497387604	0.016077345580055906	0.00503668851777393	1.0	1.0	0.0	0.0	146.87112999860668	36.0	0.0010281996879747402	0.03828703782683552	0.004330162455864213
BPRMF_seed=42_e=500_bs=1_f=32_lr=0$001_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=120	0.011474669577926373	0.016429855029332807	0.00506894544079301	1.0	1.0	0.0	0.0	147.91364776368954	24.0	0.0009488506601286195	0.038845687046653275	0.004389862436806058
BPRMF_seed=42_e=500_bs=1_f=32_lr=0$005_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=20	0.011529856201806035	0.016603786396568076	0.005070852989377443	1.0	1.0	0.0	0.0	147.66754214852998	25.0	0.0009466297162046278	0.03892246649446544	0.004396216739057372
BPRMF_seed=42_e=500_bs=1_f=64_lr=0$005_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=480	0.011922561165826545	0.01792079009549539	0.005081126106101723	1.0	1.0	0.0	0.0	125.60575449352098	692.0	0.005526198008373617	0.04086347015132184	0.004484136970671521
BPRMF_seed=42_e=500_bs=1_f=16_lr=0$0001_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=240	0.011532838273096311	0.016411000708541748	0.0051395800296803506	1.0	1.0	0.0	0.0	148.0581649714365	24.0	0.0009486128508544578	0.03916853265064235	0.004424339607898677
BPRMF_seed=42_e=500_bs=1_f=8_lr=0$005_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=40	0.01166352675945329	0.01666197793796987	0.005179337212568367	1.0	1.0	0.0	0.0	148.04012818726488	17.0	0.0009185056404534819	0.039476737003122896	0.004456847160534901
BPRMF_seed=42_e=500_bs=1_f=16_lr=0$005_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=40	0.011652109003342551	0.016528936973196694	0.005217607060473161	1.0	1.0	0.0	0.0	147.87204960289813	21.0	0.0009582601194835227	0.03954545247130813	0.004465303194113037
BPRMF_seed=42_e=500_bs=1_f=16_lr=0$0005_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=500	0.01161991916449006	0.01649332939962061	0.00518323524663221	1.0	1.0	0.0	0.0	148.3033927824996	19.0	0.0009391366380190336	0.039455020135286734	0.004455787614675107
BPRMF_seed=42_e=500_bs=1_f=8_lr=0$001_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=80	0.011654410588993361	0.016760358555809582	0.005157651979095479	1.0	1.0	0.0	0.0	148.26012958060468	18.0	0.0009114784459338665	0.039490612615758876	0.004458274759324896
BPRMF_seed=42_e=500_bs=1_f=32_lr=0$0005_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=300	0.011444904825370156	0.016241120815239807	0.005098670023952175	1.0	1.0	0.0	0.0	147.70647206353627	25.0	0.0009535428735284457	0.03890268029616782	0.0043960243164790636
BPRMF_seed=42_e=500_bs=1_f=64_lr=0$0005_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=280	0.01141604876607492	0.01619810169914002	0.005089347916956945	1.0	1.0	0.0	0.0	147.3146718684687	29.0	0.0010010727423386268	0.03873317955141324	0.004377346549648489
BPRMF_seed=42_e=500_bs=1_f=64_lr=0$001_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=500	0.011521192543969142	0.016454929617247024	0.005110120844585106	1.0	1.0	0.0	0.0	146.9298941061725	40.0	0.0010800448911593152	0.03925721471050861	0.00443130457086073
BPRMF_seed=42_e=500_bs=1_f=16_lr=0$0001_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=240	0.01153082571133234	0.016411000708541748	0.0051366772383562125	1.0	1.0	0.0	0.0	148.0640936324369	23.0	0.0009480065067398735	0.03915895766540108	0.004423326154259995
BPRMF_seed=42_e=500_bs=1_f=8_lr=0$005_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=100	0.011799686811475911	0.016941202455303336	0.005208168841824966	1.0	1.0	0.0	0.0	147.58688867214713	18.0	0.000958464552017646	0.039957578808272255	0.004506674448635824
BPRMF_seed=42_e=500_bs=1_f=8_lr=0$0005_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=160	0.011634088841262337	0.01663495797060685	0.005148302226468592	1.0	1.0	0.0	0.0	148.30728716734006	17.0	0.0009111293808587995	0.03933907765361131	0.004443117859810981
BPRMF_seed=42_e=500_bs=1_f=8_lr=0$0005_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=180	0.011659512997692774	0.016687788772706148	0.00514968727261468	1.0	1.0	0.0	0.0	148.28703497282984	18.0	0.00091188731100178	0.03942631438851097	0.004452052683056979
BPRMF_seed=42_e=500_bs=1_f=32_lr=0$0005_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=280	0.011445912802732815	0.016299176641722552	0.0050881149217849786	1.0	1.0	0.0	0.0	147.63048627560258	25.0	0.0009587079240819252	0.03890745114739398	0.004396273402663639
BPRMF_seed=42_e=500_bs=1_f=32_lr=0$001_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=120	0.011449499416524504	0.016357865804494203	0.0050674166373622966	1.0	1.0	0.0	0.0	147.86545213877662	24.0	0.0009528252736130671	0.038763696322191614	0.0043812983932682405
BPRMF_seed=42_e=500_bs=1_f=16_lr=0$0005_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=480	0.01159983161886304	0.016477847845891878	0.005179962003843849	1.0	1.0	0.0	0.0	148.33192141563325	19.0	0.0009344889269394807	0.03942184120494092	0.004451978407434074
BPRMF_seed=42_e=500_bs=1_f=8_lr=0$001_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=80	0.01166307351969875	0.016760358555809582	0.005165033362748285	1.0	1.0	0.0	0.0	148.25679949839764	18.0	0.0009116800970727645	0.03951883985686382	0.004461314938068826
BPRMF_seed=42_e=500_bs=1_f=32_lr=0$0001_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=500	0.01141915568587821	0.016220090161541204	0.0050693020694414035	1.0	1.0	0.0	0.0	147.5613626863592	25.0	0.0009645724954827628	0.03873300245661036	0.004377817750657193
BPRMF_seed=42_e=500_bs=1_f=64_lr=0$001_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=500	0.011516685698007437	0.016462393937794802	0.005106034820225987	1.0	1.0	0.0	0.0	146.35284241326457	53.0	0.0011348759218985371	0.03919694915822661	0.004424138015852218
