model	nDCG	Recall	MAP	PopREO	PopRSP	APLT	ACLT	ARP	ItemCoverage	Gini	EFD	EPC
ItemKNN_nn=150_sim=jaccard_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0331144391901684	0.04149949677477465	0.01987227718173796	0.19797998202143935	0.22668693823157365	0.3504249686498537	1.7521248432492684	12.648766894245506	9480.0	0.5241728746592289	0.23299104362741954	0.018233640678276996
ItemKNN_nn=100_sim=jaccard_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.035519716168987546	0.043819940471787416	0.021434907807347543	0.15173005269611767	0.07732311518630416	0.4229343736937439	2.1146718684687196	11.985035530165808	9571.0	0.5363021684186698	0.2485072176048663	0.019449461097968218
ItemKNN_nn=20_sim=jaccard_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.04995033625171982	0.05502499505492647	0.03274534392271608	0.13442778754797033	0.23493295956766458	0.5800613069527658	2.900306534763829	11.370544795875713	9049.0	0.5009977573194739	0.3530462502356758	0.02789088924995299
ItemKNN_nn=100_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0496371939133376	0.052300598427317734	0.03367377269982816	0.06370984020864114	0.39087037125986235	0.6614741535460499	3.3073707677302493	6.337355440992058	8756.0	0.42386505350020187	0.3617126899609247	0.028041628137748513
ItemKNN_nn=30_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.051337963570438565	0.05289134663297037	0.0354939389717152	0.047872513025678326	0.43884192660345456	0.6869304723422043	3.4346523617110214	6.4127211926989	8602.0	0.43140335160603194	0.377784786383624	0.029327035718592975
ItemKNN_nn=30_sim=jaccard_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.04558898005743738	0.05147340026252157	0.029373229297292275	0.13419360728183477	0.22151603579784981	0.5731503413682597	2.8657517068412988	11.67510101713808	9137.0	0.4987128941565291	0.3198526417272677	0.02527724592064643
ItemKNN_nn=250_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.04988487296915875	0.05256881094491136	0.03389810041335748	0.09158692508049322	0.3359624445617636	0.6325762853559983	3.162881426779992	6.730068273651943	8803.0	0.4178124431074335	0.3624695706132448	0.028189598395172388
ItemKNN_nn=20_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.05180828331090812	0.05363713516622691	0.03572035669499791	0.046347836761447624	0.41929884079470636	0.6765361571687335	3.382680785843667	6.657140866657378	8586.0	0.4423291134888848	0.38165962971582534	0.029625450277889258
ItemKNN_nn=150_sim=euclidean_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.028870911591067517	0.028031896248911413	0.020138405090334863	0.01799583541943918	0.006212877259431539	0.45804653755050867	2.290232687752543	8.445339278249964	7337.0	0.16742946378750945	0.20688207772173717	0.016065254910523828
ItemKNN_nn=150_sim=manhattan_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.028510099388243216	0.027654948061248436	0.019833031443035623	0.005732178289477119	0.008251510100415228	0.46523617110213183	2.326180855510659	8.366810645116344	7250.0	0.16424395432153904	0.20402124541356326	0.015810180511048193
