model	nDCG	Recall	MAP	PopREO	PopRSP	APLT	ACLT	ARP	ItemCoverage	Gini	EFD	EPC
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=32_l_w=0$0001_n_layers=3_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=480	0.03977840771599174	0.05876973208621333	0.01620426859611059	0.4771305471708929	0.8154084331042883	0.08004737355440993	0.8004737355440992	26.825045283544657	8534.0	0.3076651700489985	0.17134880745227876	0.014163360011136246
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=32_l_w=0$0001_n_layers=4_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=460	0.03966176405370308	0.058091322905631945	0.016232370380691405	0.4773873559203633	0.8136649889178115	0.08081371046398217	0.8081371046398217	26.5730110073847	8604.0	0.31455604005448046	0.17075727454890638	0.014164716785723125
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=16_l_w=0$0001_n_layers=2_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=180	0.0318550903051815	0.04931274174553481	0.012943109713347974	0.7382658093887328	0.9221064630024534	0.03351678974501881	0.3351678974501881	43.18257628535599	5323.0	0.11686442964720667	0.1308423620316899	0.01156891408817909
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=8_l_w=0$0001_n_layers=3_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=320	0.028563867954934548	0.04557889040813931	0.011518991996036721	0.7764771262324259	0.9144311565589193	0.03683990525289118	0.3683990525289118	35.60208304305421	5271.0	0.1481509223321441	0.11932003218261485	0.010440799229453276
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=16_l_w=0$0001_n_layers=3_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=340	0.036267434764293636	0.05673382906856584	0.014657376628604162	0.6274101418517656	0.8806138593497216	0.05152570711996656	0.5152570711996656	36.4717500348335	7092.0	0.20197762192478041	0.15144303999671024	0.013056081257995648
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=8_l_w=0$0001_n_layers=2_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=120	0.026065124648079883	0.04234710979169556	0.01043513394861451	0.8019270316544821	0.9379668447815857	0.026661557753936187	0.2666155775393618	40.60063396962519	4420.0	0.10562519063855325	0.10849278605368337	0.009617939447091411
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=64_l_w=0$0001_n_layers=1_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=500	0.0480829826125307	0.06692772612959096	0.020250038150971688	0.461557866112195	0.8354264410860757	0.07126236589104082	0.7126236589104082	27.09862059356277	8477.0	0.2874874244439257	0.21000221852876505	0.01720789608682157
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=32_l_w=0$0001_n_layers=2_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=440	0.03672306353551152	0.05380309855008672	0.015239817560947558	0.469595754095101	0.8273232879145641	0.07481538247178487	0.7481538247178486	27.54630068273652	8432.0	0.2981293435742265	0.15916172728974967	0.013203541302369783
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=64_l_w=0$0001_n_layers=4_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=500	0.050440869393925204	0.07015438734527507	0.021168459209423403	0.4527535231113287	0.7852620309802216	0.09332590218754355	0.9332590218754354	24.877706562630625	8904.0	0.3280224185445173	0.22057698280453739	0.01805946462016709
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=64_l_w=0$0001_n_layers=2_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=500	0.05004770673086544	0.06960714276423852	0.02100991704098852	0.435522283584464	0.8160742290465719	0.0797547721889369	0.7975477218893688	26.014030932144347	8619.0	0.301012495931689	0.21824846886210955	0.01792093049126912
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=64_l_w=0$0001_n_layers=1_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=500	0.04472840052688831	0.06481285292119149	0.01830821727697163	0.4822608170170485	0.8561249875018279	0.06220565695973248	0.6220565695973248	28.346042914866935	8188.0	0.27210950023991576	0.19200653818313243	0.015885519293146112
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=16_l_w=0$0001_n_layers=1_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=480	0.029375154481107224	0.04627492443360902	0.011960418090416697	0.5251590475299082	0.8018371636703999	0.08601783474989552	0.8601783474989549	30.549240629789608	8307.0	0.28250665243630824	0.12686186861553111	0.010727324025627172
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=8_l_w=0$0001_n_layers=4_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=280	0.027899240771497396	0.04492645207858061	0.011462036465693982	0.7199960213860752	0.9053027281855154	0.040796990385955134	0.40796990385955134	36.1277135293298	5981.0	0.17096114428704978	0.11932583984548126	0.010412873375628443
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=16_l_w=0$0001_n_layers=4_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=440	0.036005854582433355	0.05573134720258585	0.014601225586142684	0.6302036908224712	0.8587406324871657	0.06106311829455204	0.6106311829455204	33.21739584784729	7546.0	0.23543505322331515	0.1531472399934463	0.013091983465783486
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=16_l_w=0$0001_n_layers=2_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=80	0.030035820994234328	0.047638415219544906	0.012228868232072913	0.7960841844615149	0.9235877993756174	0.0328758534206493	0.328758534206493	41.18619200222935	5296.0	0.11583167542488537	0.12455147622035583	0.011035068339096865
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=32_l_w=0$0001_n_layers=4_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=340	0.0424397903138007	0.06429410091607517	0.01727167472813286	0.5917114473341856	0.8304839658090604	0.0734290093353769	0.7342900933537689	32.20776786958339	8231.0	0.25998228557325287	0.18032335236524502	0.01522058513464901
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=32_l_w=0$0001_n_layers=1_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=480	0.03790912856243148	0.05753502306799567	0.015563003288724344	0.5191304691886574	0.8411361798872452	0.06876132088616413	0.6876132088616413	31.22285077330361	8200.0	0.26027103887871605	0.16348209667344163	0.013697327201969901
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=8_l_w=0$0001_n_layers=3_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=260	0.02631301524565279	0.04289182798532516	0.010684362082578608	0.7204209754845962	0.9046121600506701	0.0410965584506061	0.410965584506061	37.900536435836706	5798.0	0.16409999905015427	0.11197257037926507	0.009841827767284978
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=8_l_w=0$0001_n_layers=1_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=180	0.025309942866258033	0.040398195607758675	0.010259299437577269	0.9181009174948009	0.96503284894545	0.014999303330082208	0.14999303330082206	50.292803399749204	2953.0	0.05524487867645289	0.10249342971420744	0.009392123794935266
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=32_l_w=0$0001_n_layers=3_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=300	0.040906326902321224	0.06279746869576769	0.016648149622581834	0.5490807947904167	0.8529843416431816	0.0635780966977846	0.6357809669778459	34.729552737912776	7871.0	0.23699208789074766	0.17408540034484088	0.014752317993378582
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=16_l_w=0$0001_n_layers=3_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=160	0.03481967066603346	0.05406943782729548	0.013937489909344444	0.6293377901794199	0.8836230797921437	0.05021596767451582	0.5021596767451582	36.835021596767454	6886.0	0.1912187757292083	0.14502600993712114	0.012475457720882707
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=64_l_w=0$0001_n_layers=3_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=500	0.050840705908318976	0.07049752993628479	0.021253347885993836	0.45063273254570974	0.7982943851500346	0.0875783753657517	0.875783753657517	25.190985091263762	8778.0	0.3183116812624769	0.21926233556452782	0.018012019827763376
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=64_l_w=0$0001_n_layers=3_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=500	0.05046805947086411	0.0715562110265727	0.02087060240937209	0.47675441125591056	0.8317232226007263	0.0728856067994984	0.7288560679949839	27.403539083182388	8583.0	0.2918841201855804	0.21660069559532946	0.017888079364706704
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=8_l_w=0$0001_n_layers=2_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=320	0.02551291825175335	0.041912076800429465	0.010259575893893855	0.785120911768403	0.9411788187062061	0.025275184617528215	0.2527518461752821	42.08625470252194	4482.0	0.11383960693436801	0.10501695877281196	0.009448807255195955
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=64_l_w=0$0001_n_layers=4_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=480	0.05038543892386738	0.07004745781707067	0.02100027700922922	0.48340367367307957	0.8080414491431461	0.08328688867214713	0.8328688867214714	26.986895638846317	8815.0	0.31054437421622916	0.2167388708942787	0.01790607689125205
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=16_l_w=0$0001_n_layers=4_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=220	0.03449650168575427	0.05370643129699027	0.01393020804996561	0.6438899843289991	0.8446216174396337	0.06723561376619759	0.6723561376619758	33.4760415215271	7605.0	0.2379606892369177	0.14547857090334726	0.012417010758732812
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=16_l_w=0$0001_n_layers=1_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=420	0.03125975452374067	0.04863062343931421	0.012721552092110821	0.6130379312504097	0.8732244535962739	0.054744322140169985	0.5474432214016999	38.08813571129999	7322.0	0.2049436821050179	0.13318076093603157	0.011456126440533008
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=32_l_w=0$0001_n_layers=2_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=500	0.03941736501663811	0.05957876200339006	0.01607501420985467	0.5329797974935799	0.8368574050472873	0.07063536296502718	0.7063536296502717	30.949804932423017	8306.0	0.27011106096410376	0.16797960356517055	0.014070030446852575
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=8_l_w=0$0001_n_layers=4_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=480	0.029152728291239247	0.04678946308790176	0.01186805679960898	0.7618550137637486	0.9094958028662695	0.03897868190051554	0.3897868190051554	34.45596349449631	5905.0	0.17076793190054707	0.1233167419861596	0.01072876774874503
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=8_l_w=0$0001_n_layers=1_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=100	0.024359772494692625	0.040139502307458184	0.009717428469692646	0.8334948632056927	0.9645954582607623	0.015187404207886303	0.15187404207886304	48.97788769680925	3219.0	0.06476502920888982	0.09868904752847643	0.008982033537506304
NGCF_seed=42_e=500_bs=512_lr=0$0005_factors=64_l_w=0$0001_n_layers=2_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=500	0.04852446065810286	0.06968815612262119	0.01987864949983523	0.4889657029323024	0.8411680023482871	0.06874738748780829	0.6874738748780828	28.35195067576982	8431.0	0.28262738723136327	0.20727412838241335	0.0171791736463804
NGCF_seed=42_e=500_bs=512_lr=0$001_factors=32_l_w=0$0001_n_layers=1_weight_size=64_node_dropout=0$1_message_dropout=0$1_it=500	0.0376722550205517	0.05456264610625554	0.015471640005219497	0.48931479495920993	0.8393066368849581	0.06956249129162603	0.6956249129162603	27.3994635641633	8249.0	0.2925815341265422	0.16182942396298508	0.013379870723375754
