model	nDCG	Recall	MAP	PopREO	PopRSP	APLT	ACLT	ARP	ItemCoverage	Gini	EFD	EPC
BPRMF_seed=42_e=500_bs=1_f=64_lr=0$0005_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=500	0.2580491177131954	0.10013326723462126	0.26899685956060126	1.0	1.0	0.0	0.0	1711.8512417218542	207.0	0.00993072844066245	2.1794087632774812	0.17749392558740654
BPRMF_seed=42_e=500_bs=1_f=64_lr=0$0005_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=500	0.28241707644640324	0.1128806358122115	0.29284297146010724	1.0	1.0	0.0	0.0	1593.938046357616	351.0	0.015997960633722275	2.4131633951902054	0.19879418049561592
BPRMF_seed=42_e=500_bs=1_f=8_lr=0$001_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=500	0.2814729281747755	0.11242894998653574	0.2919104514874382	0.9994719122699083	0.9998972115479869	0.00011589403973509932	0.0011589403973509935	1528.8522516556293	419.0	0.021059304337449736	2.4176281573188456	0.19961517566065692
BPRMF_seed=42_e=500_bs=1_f=32_lr=0$005_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=500	0.3308975954968795	0.13994978216833154	0.3381426928939346	0.9066368433189973	0.9833534345956563	0.018576158940397353	0.1857615894039735	1241.7201158940397	1490.0	0.08180395326090706	2.9676515920742887	0.24937308642205275
BPRMF_seed=42_e=500_bs=1_f=8_lr=0$0005_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=500	0.23435800215205888	0.09107470104346062	0.2434699555870913	1.0	1.0	0.0	0.0	1758.0577649006623	178.0	0.008143995892340494	1.9659954798886852	0.1589208257488757
BPRMF_seed=42_e=500_bs=1_f=8_lr=0$001_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=480	0.2882605630780697	0.1156919286602693	0.2975721906864291	0.9953908607844631	0.9991920190496487	0.0009105960264900663	0.009105960264900662	1419.871357615894	573.0	0.030728368344262624	2.50616149503207	0.2084770803761355
BPRMF_seed=42_e=500_bs=1_f=32_lr=0$0001_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=380	0.17977687368170367	0.06391287598266392	0.1853751116892673	1.0	1.0	0.0	0.0	1881.941688741722	51.0	0.004359362372607145	1.4933458726768927	0.11843905734567388
BPRMF_seed=42_e=500_bs=1_f=8_lr=0$0001_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=400	0.18000749868724258	0.06405126382489021	0.18515750157678965	1.0	1.0	0.0	0.0	1882.5938907284767	51.0	0.004307980466920824	1.4958437264438886	0.11864457612126061
BPRMF_seed=42_e=500_bs=1_f=64_lr=0$0001_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=460	0.1799099335315153	0.06365769878494815	0.18527607615894043	1.0	1.0	0.0	0.0	1879.8196523178806	53.0	0.004499577843948721	1.4951468195147544	0.11862228638110518
BPRMF_seed=42_e=500_bs=1_f=8_lr=0$0005_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=500	0.20824021922120964	0.07974389597815398	0.2148559865447283	1.0	1.0	0.0	0.0	1840.8266225165562	80.0	0.0055461180626744655	1.7345542410420562	0.1387558615474447
BPRMF_seed=42_e=500_bs=1_f=64_lr=0$0001_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=340	0.17949031866800727	0.06344765009378804	0.18464381635656474	1.0	1.0	0.0	0.0	1879.3440397350994	52.0	0.004447111168965456	1.4920174057309399	0.11838456718810894
BPRMF_seed=42_e=500_bs=1_f=64_lr=0$005_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=480	0.33905910921741644	0.14437139205992008	0.34670441763902027	0.921531434153546	0.9879278026671195	0.013509933774834436	0.13509933774834437	1293.5926821192052	1403.0	0.06999406088810045	3.033265849217462	0.2549226767077837
BPRMF_seed=42_e=500_bs=1_f=32_lr=0$0005_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=500	0.2686446117406292	0.10659512529200332	0.279492759907495	0.9994439893303424	0.9999853167472926	1.6556291390728477e-05	0.00016556291390728477	1630.5847682119206	301.0	0.013606080493497652	2.2842312840513745	0.18731158715688573
BPRMF_seed=42_e=500_bs=1_f=32_lr=0$0005_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=460	0.2301517246975137	0.08733555457968631	0.23963026910543467	1.0	1.0	0.0	0.0	1794.86559602649	119.0	0.006916877744692185	1.9287443269720035	0.15548519546000292
BPRMF_seed=42_e=500_bs=1_f=16_lr=0$0005_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=500	0.25321046904524913	0.09793469731927232	0.2643986912645853	1.0	1.0	0.0	0.0	1666.296225165563	229.0	0.01122219148709247	2.1450914697177628	0.1750950527133155
BPRMF_seed=42_e=500_bs=1_f=16_lr=0$0005_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=500	0.23070393996341662	0.08841001370606186	0.23889794885945548	1.0	1.0	0.0	0.0	1768.5704304635763	120.0	0.0074779113851960455	1.936379054167851	0.1563884139212406
BPRMF_seed=42_e=500_bs=1_f=16_lr=0$001_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=500	0.30624952686730966	0.12485648303191069	0.315887023021129	0.9904133108433649	0.9986921299520517	0.0014735099337748348	0.014735099337748345	1388.578013245033	704.0	0.036837662466801535	2.6795905870079153	0.22388646294024644
BPRMF_seed=42_e=500_bs=1_f=32_lr=0$001_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=500	0.3179155425142836	0.13161889628939244	0.32720923998738566	0.9893305563088055	0.9988097791172305	0.0013410596026490068	0.013410596026490066	1373.1279304635761	732.0	0.03950140387226497	2.785156280558588	0.23317903961612857
BPRMF_seed=42_e=500_bs=1_f=64_lr=0$001_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=500	0.30727426013902676	0.12616236975203252	0.3172514322506044	0.9990349800297803	0.999853155294601	0.00016556291390728477	0.0016556291390728477	1510.530546357616	533.0	0.02489573559109992	2.656215544149703	0.22045779276600203
BPRMF_seed=42_e=500_bs=1_f=8_lr=0$005_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=300	0.2906004574646009	0.11644659098961031	0.29983569194786086	0.9615327665511382	0.9920759553123276	0.008890728476821192	0.08890728476821191	1332.824619205298	988.0	0.04846151690522549	2.555123888827853	0.21313575096187423
BPRMF_seed=42_e=500_bs=1_f=16_lr=0$0001_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=460	0.18033633418149952	0.06400710140033058	0.18565348076316618	1.0	1.0	0.0	0.0	1884.4260761589403	51.0	0.00430485271544867	1.4983411090109395	0.11882499410778267
BPRMF_seed=42_e=500_bs=1_f=16_lr=0$001_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=500	0.2936627832374236	0.11871825950712436	0.3036435732681594	0.9989894603166511	0.9997944098339094	0.00023178807947019865	0.002317880794701987	1525.6765894039738	467.0	0.02225021830982077	2.528789565913857	0.20929964448991006
BPRMF_seed=42_e=500_bs=1_f=8_lr=0$005_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=300	0.2876208461463742	0.11601689354022089	0.29646916719226324	0.9771113125450827	0.9956271466121683	0.004917218543046358	0.049172185430463575	1437.328261589404	843.0	0.036219750756174784	2.5012004192802952	0.20733228285898453
BPRMF_seed=42_e=500_bs=1_f=32_lr=0$001_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=500	0.30103453400532953	0.12304517896664538	0.31125712183328075	0.9975344445472153	0.9997797227919881	0.00024834437086092715	0.0024834437086092716	1511.432003311258	510.0	0.02408944465235885	2.596866379803871	0.2152571331265384
BPRMF_seed=42_e=500_bs=1_f=16_lr=0$0001_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=500	0.1801936896065895	0.06379688538180107	0.18573048722800378	1.0	1.0	0.0	0.0	1882.729321192053	51.0	0.004334259003133112	1.4972236332847182	0.11875427531600947
BPRMF_seed=42_e=500_bs=1_f=8_lr=0$0001_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=380	0.1801307768408328	0.06422030936895272	0.1851982550194471	1.0	1.0	0.0	0.0	1882.970430463576	51.0	0.0042828861371907445	1.496602185505471	0.11870621303820329
BPRMF_seed=42_e=500_bs=1_f=32_lr=0$0001_bias_reg=0$001_u_reg=0$05_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=320	0.17928248107275055	0.0635943616916907	0.1850883002207505	1.0	1.0	0.0	0.0	1879.8672185430464	52.0	0.004417460808189166	1.4894770193885527	0.118145337842568
BPRMF_seed=42_e=500_bs=1_f=32_lr=0$005_bias_reg=0$001_u_reg=0$1_pos_i_reg=0$0025_neg_i_reg=0$00025_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=360	0.32177072328942957	0.13557420443996812	0.32902819168506253	0.9510813513979819	0.9930541055541143	0.007798013245033114	0.07798013245033113	1395.730380794702	1139.0	0.050963763281644314	2.8341139995200826	0.23639075286376032
